owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
720,'2021-08-05 12:37:32,프로그램,프로그램 참여,듣는대화,,,프로그램 메시지,,,,,
720,'2021-08-05 12:38:06,프로그램,프로그램 참여,도전 실버벨,,,프로그램 메시지,,,,,
720,'2021-08-05 12:38:14,프로그램,프로그램 참여,노래자랑,,,프로그램 메시지,,,,,
720,'2021-08-05 12:49:24,리모콘,"낮잠기상, TV시청",낮잠 기상하기,CHM,,"소중한 매자님, 오늘도 순이가 인사드려요! 밖에서 운동하실 때는 다치지 않게 조심하세요. 간단한 준비운동도 도움이 된대요.",,,,,
720,'2021-08-05 12:49:24,리모콘,"낮잠기상, TV시청",TV 보기,,,,,,,,
720,'2021-08-05 13:52:37,프로그램,프로그램 참여,노래자랑,,,프로그램 메시지,,,,,
720,'2021-08-05 17:06:09,변기,용변,화장실 이용,CHM,,"순이의 영혼의 짝꿍 우리 매자님, 똑똑똑, 순이가 왔어요. 피부암을 예방하려면 자외선을 차단하는게 도움이 된대요. 외출시에는 자외선차단제를 꼬옥 발라주세요!",,,,,
720,'2021-08-06 19:22:26,리모콘,TV시청,TV 보기,,,,,,,,
720,'2021-08-07 00:26:23,변기,용변,화장실 이용,CM,,"나매자님, 목욕을 마치신 후에는 바닥에 비눗물이 튀진 않았는지 꼼꼼히 닦아주세요.",,,,,
720,'2021-08-07 14:49:15,리모콘,TV시청,TV 보기,,,,,,,,
720,'2021-08-07 15:29:32,창문,환기,집 환기하기,CHM,,"순이만의 선생님, 안녕하세요! 사계절이 뚜렷한 건 정말 축복같아요.",뭐래 모바일 네트워크 접속을 허용할까요 지금 여기 안가,오호 순이 잘 들었어요. 행복한 하루 되세요!,네네 뭐 그게 몇 번 했더니 엄마한테 전화가 안가 들여다봤더니 휴대폰을 바꿔줘 써,,
720,'2021-08-07 15:31:53,프로그램,프로그램 참여,순이 특별대화,,,프로그램 메시지,,,,,
720,'2021-08-07 16:01:57,창문,환기,집 환기하기,PM,,요리를 할 때에는 연기와 음식 냄새가 빠지도록 창문을 열어두는 것이 좋아요. 어떤 아파트는 창문이 통유리로 돼서 환기를 못시킨대요.,,,,,
720,'2021-08-07 16:15:23,리모콘,TV시청,TV 보기,,,,,,,,
720,'2021-08-07 20:01:24,변기,용변,화장실 이용,CHM,,"이 시대의 영웅 매자님, 따란! 깜짝 놀랐죠? 순이랍니다. 이렇게 더운 날씨에 외출을 하려면 모자를 쓰면 좋답니다.",,,,,
720,'2021-08-08 08:03:21,리모콘,TV시청,TV 보기,,,,,,,,
