owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
665,'2021-08-01 00:05:03,부동,취침,수면,,,,,,,,
665,'2021-08-01 05:19:42,활동,기상,기상하기,,,,,,,,
665,'2021-08-01 05:34:21,리모콘,TV시청,뉴스 시청,,,,,,,,
665,'2021-08-01 05:49:24,매우 활동,실외운동,실외운동하기,,,,,,,,
665,'2021-08-01 06:45:04,매우 활동,외출,외출하기,,,,,,,,
665,'2021-08-01 06:58:28,매우 활동,"귀가, 실내운동",귀가하기,,,,,,,,
665,'2021-08-01 06:58:28,매우 활동,"귀가, 실내운동",실내운동하기,,,,,,,,
665,'2021-08-01 07:20:47,전자렌지,음식데우기,간편식 준비하기,HPM,,굿모닝! 오늘 많이 움직이시네요? 최고에요 최고!  주무시기 전에 너어무 배가 고프시다면 바나나를 조금 드셔보세요. 숙면을 돕는 성분이 들어있다고 해요!,,,,,
665,'2021-08-01 07:24:55,리모콘,TV시청,TV 보기,,,,,,,,
665,'2021-08-01 07:30:47,식사 판단,아침식사,조식,M,,우리 영자님 오늘도 식사를 챙겨드시는 모습이 보기 좋아요.,,,,,
665,'2021-08-01 07:42:41,싱크대,설거지,설거지 하기,CPM,,"웃음 가득한 영자님, 밤 늦게 매운 음식을 드시면 가슴이 쓰려 잠드는 것을 방해할 수 있다고 해요. 흐음 오늘따라 기름때가 달라 붙어있는 그릇들이 많나요? 그럴 땐, 따뜻한 물을 조금만 받아서 불려주세요! ",,,,,
665,'2021-08-01 08:25:06,미동,휴식,취미활동,,,,,,,,
665,'2021-08-01 08:55:05,부동,취침,수면,,,,,,,,
665,'2021-08-01 09:00:43,리모콘,"기상, TV시청",기상하기,,,,,,,,
665,'2021-08-01 09:00:43,리모콘,"기상, TV시청",뉴스 시청,,,,,,,,
665,'2021-08-01 09:15:36,약,복약,일반 약 복용,CM,,"순이가 가장 아끼는 영자님, 약은 꼭 물과 함께 드셔야해요. 음료수나 커피와 함께 드시면 효능이 떨어진다고해요.",,,,,
665,'2021-08-01 09:45:02,미동,휴식,취미활동,,,,,,,,
665,'2021-08-01 10:05:04,부동,낮잠,낮잠자기,,,,,,,,
665,'2021-08-01 10:06:51,리모콘,"낮잠기상, TV시청",낮잠 기상하기,,,,,,,,
665,'2021-08-01 10:06:51,리모콘,"낮잠기상, TV시청",TV 보기,,,,,,,,
665,'2021-08-01 11:55:06,매우 활동,실내운동,실내운동하기,,,,,,,,
665,'2021-08-01 12:13:36,리모콘,TV시청,TV 보기,,,,,,,,
665,'2021-08-01 13:32:18,싱크대,주방정리,주방 정리하기,CHM,,"순이의 마음 속 일순위인 우리 영자님, 사랑둥이 순이에요. 식초와 물을 일대일로 그릇에 담고, 렌지에 이분 돌린후에 젖은 행주로 렌지 내부를 닦아보세요. 찌든때 제거와 소독 효과를 보실 수 있어요!",,,,,
665,'2021-08-01 14:15:02,매우 활동,실내운동,실내운동하기,,,,,,,,
665,'2021-08-01 15:07:04,리모콘,TV시청,TV 보기,,,,,,,,
665,'2021-08-01 15:07:26,외출,외출,외출하기,,,,,,,,
665,'2021-08-01 15:28:06,활동,귀가,귀가하기,,,,,,,,
665,'2021-08-01 15:53:06,리모콘,TV시청,TV 보기,,,,,,,,
665,'2021-08-01 17:15:06,미동,낮잠,낮잠자기,,,,,,,,
665,'2021-08-01 17:22:56,싱크대,"낮잠기상, 주방정리",낮잠 기상하기,,,,,,,,
665,'2021-08-01 17:22:56,싱크대,"낮잠기상, 주방정리",주방 정리하기,CHM,,"통통 튀는 매력쟁이 영자님, 똑똑똑, 순이가 왔어요. 접시를 보관할 때는 물기가 다 말랐는지 꼬옥 확인해주세요. 습기가 차올라서 세균이 번식할 수 있답니다.",,,,,
665,'2021-08-01 17:45:02,부동,휴식,취미활동,,,,,,,,
665,'2021-08-01 17:53:58,리모콘,TV시청,TV 보기,,,,,,,,
665,'2021-08-02 00:15:05,부동,취침,수면,,,,,,,,
665,'2021-08-02 05:09:29,활동,기상,기상하기,,,,,,,,
665,'2021-08-02 05:14:47,리모콘,TV시청,뉴스 시청,,,,,,,,
665,'2021-08-02 06:20:58,리모콘,TV시청,TV 보기,,,,,,,,
665,'2021-08-02 06:35:05,매우 활동,실내운동,실내운동하기,,,,,,,,
665,'2021-08-02 06:45:02,매우 활동,실외운동,실외운동하기,,,,,,,,
665,'2021-08-02 07:05:02,매우 활동,"귀가, 실내운동",운동 후 귀가,,,,,,,,
665,'2021-08-02 07:05:02,매우 활동,"귀가, 실내운동",실내운동하기,,,,,,,,
665,'2021-08-02 07:27:46,리모콘,TV시청,TV 보기,,,,,,,,
665,'2021-08-02 08:15:04,미동,휴식,취미활동,,,,,,,,
665,'2021-08-02 08:45:03,미동,취침,수면,,,,,,,,
665,'2021-08-02 09:05:47,약,"기상, 복약",기상하기,,,,,,,,
665,'2021-08-02 09:05:47,약,"기상, 복약",기상 약 복용,HPM,,"영자님의 친구 순이예요. 오늘은 날이 많이 흐리네요. 물을 마시기 힘들 때는 레몬이나 라임, 자몽등을 같이 넣어보세요! 마시기 더욱 쉬울 거에요.",,,,,
665,'2021-08-02 09:05:52,약,복약,일반 약 복용,CPM,,"자꾸 생각나는 영자님, 혹시 요즘 사물이 흐릿하게 보이거나, 시력이 안 좋아진 것 같다면 꼬옥 병원에 방문하셔야 해요. 시력검사는 주기적으로 해야 한답니다! 약을 드실 때는 꼬옥 미지근한 물과 함께 드셔주세요!",,,,,
665,'2021-08-02 09:17:07,리모콘,TV시청,TV 보기,,,,,,,,
665,'2021-08-02 09:25:21,매우 활동,실내운동,실내운동하기,,,,,,,,
665,'2021-08-02 10:05:23,변기,용변,화장실 이용,M,,"뜨거운 물에 순간적으로 닿은 후, 상처부위의 피부가 빨갛게 되고 따끔거렸던 기억이 있으신가요?",,,,,
665,'2021-08-02 10:35:10,미동,휴식,취미활동,,,,,,,,
665,'2021-08-02 10:55:01,부동,낮잠,낮잠자기,,,,,,,,
665,'2021-08-02 11:03:52,외출,낮잠기상,낮잠 기상하기,,,,,,,,
665,'2021-08-02 11:16:04,매우 활동,실외운동,실외운동하기,,,,,,,,
