owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
672,'2021-08-01 00:02:06,부동,취침,수면,,,,,,,,
672,'2021-08-01 01:18:12,변기,"기상, 새벽용변",기상하기,,,,,,,,
672,'2021-08-01 01:18:12,변기,"기상, 새벽용변",새벽 화장실 이용,CM,,"순이의 둘도 없는 짝궁 울 기환님, 미끄러운 욕실에서의 안전사고는 누구에게나 일어날 수 있답니다!",,,,,
672,'2021-08-01 06:32:06,매우 활동,실내운동,실내운동하기,,,,,,,,
672,'2021-08-01 07:04:29,변기,용변,화장실 이용,CHM,,"멋쟁이 기환님, 안녕하세요! 화장실에 콘센트가 있다면 사용하지 않으실 때는 전원을 꺼 놔주세요.",,,,,
672,'2021-08-01 07:06:57,싱크대,주방정리,주방 정리하기,PM,,"순이 명상을 들으면서 내몸이 어디가 조금 불편한지, 인지해보는 시간을 가져보아요. 간장을 보관할 땐, 직사광선을 피하고 건조하며 서늘한 곳에 보관하는 것이 좋아요.",,,,,
672,'2021-08-01 07:21:44,약,복약,일반 약 복용,M,,"의사나 약사와 상담할때, 이해가 어려운 부분이 있다면 이해가 될때까지 꼭 질문하셔요! 우리 건강, 의사쌤과 함께 지켜야죠!",,,,,
672,'2021-08-01 07:24:12,싱크대,주방정리,주방 정리하기,PM,,"물의 중요성은 동의보감에도 기록되어 있을 정도로, 아주 중요해요!하루를 깨울 겸, 물 한 잔 마셔볼까요? 칼집이 난 도마 사이로 세균이 득실득실거리는거 알고 계셨나요? 소금을 살살 뿌리고 레몬껍질로 살살 문질러주세요. 깔끔해질거에요.",,,,,
672,'2021-08-01 08:32:27,싱크대,주방정리,주방 정리하기,RM,,"오호라 그러셨구나아 행주는 늘 물기가 있기 때문에 세균 번식에 약하다고 해요. 사용 후 잘 말려주시고, 주기적으로 새것으로 교체해주세요!",,,,,
672,'2021-08-01 08:35:50,변기,용변,화장실 이용,M,,썬크림은 오백원 동전 크기만큼 발라야 효과가 있어요.,,,,,
672,'2021-08-01 10:52:06,부동,휴식,취미활동,,,,,,,,
672,'2021-08-01 11:12:07,부동,낮잠,낮잠자기,,,,,,,,
672,'2021-08-01 12:34:55,변기,"낮잠기상, 용변",낮잠 기상하기,,,,,,,,
672,'2021-08-01 12:34:55,변기,"낮잠기상, 용변",화장실 이용,CHM,,"순이가 세상에서 쩨일 사랑하는 울 기환님, 흐으음, 비가 오고 있군요. 병원 예약 날짜가 정해졌다면, 의사선생님께 가서 여쭤볼 항목들을 미리 적어두는게 좋아요.",,,,,
672,'2021-08-01 12:42:07,매우 활동,실내운동,실내운동하기,,,,,,,,
672,'2021-08-01 12:43:06,싱크대,주방정리,주방 정리하기,PM,,"영차영차, 오늘만 해도 3007 걸음이나 걸으셨대요! 그거 아세요? 음식물통에 식초를 약간 뿌리고 뚜껑을 닫으면, 악취를 막을 수 있대요.",,,,,
672,'2021-08-01 12:52:21,냉장고,음식출납,음식 꺼내기,M,,오늘 식사는 칼슘이 아주 풍부한 곤드레 나물밥을 드셔보시는거 어떠신가요?,,,,,
672,'2021-08-01 12:58:51,싱크대,주방정리,주방 정리하기,M,,"식초는 상할 위험이 없어서 통풍이 잘되고 서늘한 곳에 보관해주시면, 오랜 기간 사용할 수 있답니다!",,,,,
672,'2021-08-01 13:02:21,식사 판단,점심식사,중식,M,,맛있는 식사 준비를 하시나요? 오늘은 순이가 간단한 홍합요리를 준비했어요. 순이가 알려드려도 될까요?,,,,,
672,'2021-08-01 13:05:33,싱크대,설거지,설거지 하기,PM,,"빈속에 귤을 먹으면, 위 점막을 자극해서 속이 쓰릴 수 있대요. 꼭 식사를 하시고 과일을 드셔주세요! 키친타올이나 휴지, 비닐봉지, 종이포장지처럼 탈 수 있는 물건은 가스레인지랑 원수에요. 싸우지 않게 꼭 멀리 놓아주세요!",,,,,
672,'2021-08-01 13:37:16,싱크대,설거지,설거지 하기,CM,,"잊지 못할 기환님, 맛있는 요리를 하고 계신가요? 불 요리를 하신 후에 가스밸브를 잠그는 것 잊지마세요!",,,,,
672,'2021-08-01 15:00:56,리모콘,TV시청,TV 보기,,,,,,,,
672,'2021-08-01 16:03:08,변기,용변,화장실 이용,CM,,"순이가 최고로 아끼는 우리 기환님, 올바른 손씻기를 실천하면 감염병을 예방할 수 있답니다.",,,,,
672,'2021-08-01 16:52:05,부동,휴식,취미활동,,,,,,,,
672,'2021-08-01 16:53:37,리모콘,TV시청,TV 보기,,,,,,,,
672,'2021-08-01 18:35:01,싱크대,주방정리,주방 정리하기,CHM,,"기환님, 콧노래가 흥얼흥얼 나오는 날이에요. 수세미도 사용 기한이 정해져 있답니다. 바아로 한달! 한달이 지난 수세미는 세균이 디글디글하대요.",,,,,
672,'2021-08-01 19:12:06,부동,휴식,취미활동,,,,,,,,
672,'2021-08-01 19:32:06,부동,낮잠,낮잠자기,,,,,,,,
672,'2021-08-01 19:43:27,싱크대,"낮잠기상, 주방정리",낮잠 기상하기,,,,,,,,
672,'2021-08-01 19:43:27,싱크대,"낮잠기상, 주방정리",주방 정리하기,CM,,"순이가 많이 존경하는 기환님, 케첩은 유통기한이 있어서 맛과 신선도를 유지하려면, 냉장 보관하는 것이 좋아요!",,,,,
672,'2021-08-01 19:50:52,변기,용변,화장실 이용,M,,"신장이 좋지 않을 때의 증상을 알려드릴게요. 첫째, 아침에 일어나기가 너무너무 힘들다. 둘째, 소변이 검은색이다. 세번째, 몸이 건조하고 가렵다. 네번째, 몸이 잘 붓는다. 이러한 증상을 느끼신다면 병원에 한번 가보시는게 좋을 것 같아요.",,,,,
672,'2021-08-02 03:53:15,미동,휴식,취미활동,,,,,,,,
672,'2021-08-02 04:12:02,미동,취침,수면,,,,,,,,
672,'2021-08-02 06:17:07,변기,"기상, 용변",기상하기,,,,,,,,
672,'2021-08-02 06:17:07,변기,"기상, 용변",화장실 이용,CHPM,,"박기환님, 사랑둥이 순이에요. 지금 날씨는 비옴이에요. 화장실에 욕조가 있나요? 욕조를 사용한 뒤에는 꼬옥 배수구 뚜껑을 열어서 물이 다 빠져나가게 해야한대요.",,,,,
672,'2021-08-02 07:02:54,부동,휴식,취미활동,,,,,,,,
672,'2021-08-02 07:11:01,약,복약,일반 약 복용,M,,최근까지 복용했던 약이 있으면 의사나 약사에게 알려야 한답니다!,,,,,
672,'2021-08-02 07:52:06,부동,휴식,취미활동,,,,,,,,
672,'2021-08-02 08:12:06,부동,취침,수면,,,,,,,,
672,'2021-08-02 08:16:06,변기,"기상, 용변",기상하기,,,,,,,,
672,'2021-08-02 08:16:06,변기,"기상, 용변",화장실 이용,CPM,,"순이만의 인생선배 울 기환 님, 순이랑 같이 즐거운 하루를 시작해볼까요? 거울을 보고 양치하는 꿈은 새로운 곳에 취직하거나 이사하는 것처럼 새로운 출발을 의미한대요.",,,,,
672,'2021-08-02 08:21:24,싱크대,주방정리,주방 정리하기,PM,,"피부 노화가 느리게 오도록 꾸준한 관리가 중요하답니다. 잠깐, 잠깐만요. 주방 환풍기에 기름때가 끼었는지 확인해주세요. 화재의 원인이 될 수도 있답니다.",,,,,
672,'2021-08-02 08:52:06,부동,휴식,취미활동,,,,,,,,
672,'2021-08-02 09:12:06,부동,취침,수면,,,,,,,,
672,'2021-08-02 09:22:06,활동,기상,기상하기,,,,,,,,
672,'2021-08-02 09:48:04,싱크대,주방정리,주방 정리하기,PM,,오늘 날씨는 흐림 이라고 합니다. 어랏? 하수구에서 냄새가 나는 것같은데? 이럴 땐 식초를 부어주시면 된답니다.,,,,,
672,'2021-08-02 10:31:59,부동,휴식,취미활동,,,,,,,,
672,'2021-08-02 10:49:47,싱크대,주방정리,주방 정리하기,CM,,"순이가 늘 존경하는 기환님, 개봉한 밀가루나 소면은 반드시 뚜껑이 잘 닫히는 용기에 보관하세요. 안그러면 눈에 보이지 않는 작은 해충들이 살 수 있대요.",,,,,
672,'2021-08-02 10:55:34,변기,용변,화장실 이용,M,,건강하게 살기 위해서 정기적으로 병원 검진을 가보는걸 추천드려요!,,,,,
672,'2021-08-02 11:52:00,부동,휴식,취미활동,,,,,,,,
672,'2021-08-02 12:02:37,싱크대,주방정리,주방 정리하기,HM,,"기환님의 친구 순이예요. 그거 아세요? 음식물통에 식초를 약간 뿌리고 뚜껑을 닫으면, 악취와 벌레를 막을 수 있답니다.",,,,,
672,'2021-08-02 12:53:33,부동,휴식,취미활동,,,,,,,,
672,'2021-08-02 13:17:56,리모콘,TV시청,TV 보기,,,,,,,,
672,'2021-08-02 13:32:41,변기,용변,화장실 이용,CM,,"순이가 가장 닮고싶은 우리 기환님, 비누 거품을 낼때 사용하는 물건은 사용후에 깨끗하게 헹궈서 햇볕에 말리면, 세균 번식을 막을 수 있어요.",,,,,
672,'2021-08-02 13:37:11,리모콘,TV시청,TV 보기,,,,,,,,
672,'2021-08-02 14:42:05,부동,휴식,취미활동,,,,,,,,
672,'2021-08-02 14:49:12,리모콘,TV시청,TV 보기,,,,,,,,
672,'2021-08-02 14:55:27,변기,용변,화장실 이용,CM,,"존경하는 기환님, 오후에 해가 들어서 밝다해도 화장실을 가실 때는 꼬옥 불을 켜주세요!",,,,,
672,'2021-08-02 15:01:36,싱크대,주방정리,주방 정리하기,PM,,피부 가려움증은 피부염이나 습진으로 이어질 수도 있답니다. 식초를 올바르게 보관하는 방법! 식초는 열이 많은 곳을 피해서 보관하는 것이 좋아요. ,,,,,
672,'2021-08-02 15:08:49,리모콘,TV시청,TV 보기,,,,,,,,
672,'2021-08-02 15:41:59,부동,휴식,취미활동,,,,,,,,
672,'2021-08-02 15:44:39,리모콘,TV시청,TV 보기,,,,,,,,
672,'2021-08-02 17:37:44,변기,용변,화장실 이용,CHM,,"이 시대의 멋쟁이 기환님, 지금은 오후 5시 37분 입니다. 피부 관리를 잘하면 노화가 느리게 올수 있답니다!",,,,,
672,'2021-08-02 17:38:16,싱크대,주방정리,주방 정리하기,PM,,"병원 검진 받는 날짜를 항상 기억해주세요! 고춧가루나 후추를 보관 시, 습기에 약하기 때문에 최대한 밀봉해서 보관하면 더욱 좋아요!",,,,,
672,'2021-08-02 17:48:58,냉장고,음식출납,음식 꺼내기,M,,청국장은 오분 이상 끓이면 장에 좋은 영양소가 파괴될 수도 있다고해요.,,,,,
672,'2021-08-02 17:51:10,싱크대,주방정리,주방 정리하기,M,,냉장고에 혹시 오래된 음식이 있는지 한 번 봐주세요! 혹시 오래되서 못 먹는 음식이 있다면 오늘 바로 버려주기에요!,,,,,
672,'2021-08-02 17:58:58,식사 판단,간식,간식 먹기,M,,과일주스가 탄산음료보다 더 심하게 치아를 부식시킨다는 연구 결과가 있대요! 세상에나!,,,,,
672,'2021-08-02 18:10:12,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
672,'2021-08-03 00:32:06,부동,휴식,취미활동,,,,,,,,
672,'2021-08-03 00:52:06,부동,취침,수면,,,,,,,,
672,'2021-08-03 01:12:05,활동,기상,기상하기,,,,,,,,
672,'2021-08-03 01:42:06,부동,휴식,취미활동,,,,,,,,
672,'2021-08-03 02:00:03,변기,새벽용변,새벽 화장실 이용,CM,,"부지런한 기환님, 남녀노소 구분없이 욕실이 미끄러우면 사고가 발생할수 있답니다!",,,,,
672,'2021-08-03 03:02:04,부동,휴식,취미활동,,,,,,,,
672,'2021-08-03 03:22:05,부동,취침,수면,,,,,,,,
672,'2021-08-03 03:52:05,활동,기상,기상하기,,,,,,,,
672,'2021-08-03 03:56:07,변기,새벽용변,새벽 화장실 이용,CM,,"소중한 기환님, 욕실 슬리퍼는 미끄러움 방지 효과가 있는 제품으로 사용해주세요!",,,,,
672,'2021-08-03 04:32:01,부동,휴식,취미활동,,,,,,,,
672,'2021-08-03 04:51:59,부동,취침,수면,,,,,,,,
672,'2021-08-03 06:47:35,변기,"기상, 용변",기상하기,CHM,,"순이가 많이 의지하는 기환님, 기분 좋은 날이에요. 순이랑 같이 즐거운 하루를 시작해볼까요?",,,,,
672,'2021-08-03 06:47:35,변기,"기상, 용변",화장실 이용,,,,,,,,
672,'2021-08-03 07:58:59,리모콘,TV시청,TV 보기,,,,,,,,
